"Time","logFrequencySweep.y","const.y.re","const.y.im","transferFunction.y.re","transferFunction.y.im"
0,0.0099999998,1,0,-2.0003982,0.0020007982
0.00050000002,0.010046158,1,0,-2.0004017,0.0020100409
0.001,0.010092529,1,0,-2.0004056,0.0020193264
0.0015,0.010139114,1,0,-2.0004091,0.0020286548
0.0020000001,0.010185914,1,0,-2.0004129,0.0020380265
0.0024999999,0.01023293,1,0,-2.0004168,0.0020474414
0.003,0.010280163,1,0,-2.0004208,0.0020568999
0.0035000001,0.010327614,1,0,-2.0004246,0.0020664022
0.0040000002,0.010375285,1,0,-2.0004284,0.0020759483
0.0044999998,0.010423174,1,0,-2.0004325,0.0020855388
0.0049999999,0.010471285,1,0,-2.0004365,0.0020951736
0.0055,0.010519619,1,0,-2.0004406,0.002104853
0.0060000001,0.010568175,1,0,-2.0004447,0.0021145772
0.0065000001,0.010616955,1,0,-2.0004487,0.0021243463
0.0070000002,0.010665962,1,0,-2.000453,0.0021341608
0.0074999998,0.010715193,1,0,-2.000457,0.0021440207
0.0080000004,0.010764652,1,0,-2.0004613,0.0021539263
0.0085000005,0.01081434,1,0,-2.0004656,0.0021638775
0.0089999996,0.010864256,1,0,-2.0004699,0.002173875
0.0094999997,0.010914403,1,0,-2.0004742,0.0021839186
0.0099999998,0.010964782,1,0,-2.0004785,0.0021940088
0.0105,0.011015393,1,0,-2.000483,0.0022041455
0.011,0.011066237,1,0,-2.0004876,0.0022143293
0.0115,0.011117318,1,0,-2.0004921,0.0022245604
0.012,0.011168633,1,0,-2.0004966,0.0022348387
0.0125,0.011220184,1,0,-2.0005012,0.0022451645
0.013,0.011271975,1,0,-2.0005059,0.0022555382
0.0135,0.011324003,1,0,-2.0005105,0.00226596
0.014,0.011376273,1,0,-2.0005152,0.0022764299
0.0145,0.011428784,1,0,-2.00052,0.0022869485
0.015,0.011481537,1,0,-2.0005248,0.0022975155
0.0155,0.011534533,1,0,-2.0005298,0.0023081317
0.016000001,0.011587773,1,0,-2.0005345,0.0023187969
0.0165,0.01164126,1,0,-2.0005395,0.0023295116
0.017000001,0.011694994,1,0,-2.0005445,0.0023402758
0.0175,0.011748975,1,0,-2.0005496,0.0023510898
0.017999999,0.011803206,1,0,-2.0005546,0.002361954
0.0185,0.011857687,1,0,-2.0005598,0.0023728686
0.018999999,0.01191242,1,0,-2.0005651,0.0023838335
0.0195,0.011967406,1,0,-2.0005701,0.0023948494
0.02,0.012022644,1,0,-2.0005755,0.0024059163
0.020500001,0.012078138,1,0,-2.0005808,0.0024170342
0.021,0.012133889,1,0,-2.000586,0.0024282041
0.021500001,0.012189896,1,0,-2.0005915,0.0024394253
0.022,0.012246162,1,0,-2.000597,0.0024506985
0.022500001,0.012302687,1,0,-2.0006025,0.0024620241
0.023,0.012359475,1,0,-2.0006082,0.0024734021
0.023499999,0.012416523,1,0,-2.0006137,0.0024848329
0.024,0.012473835,1,0,-2.0006194,0.0024963166
0.024499999,0.012531412,1,0,-2.0006251,0.0025078536
0.025,0.012589254,1,0,-2.0006311,0.0025194439
0.0255,0.012647363,1,0,-2.0006368,0.0025310877
0.026000001,0.012705741,1,0,-2.0006428,0.0025427858
0.0265,0.012764388,1,0,-2.0006487,0.002554538
0.027000001,0.012823306,1,0,-2.0006547,0.0025663446
0.0275,0.012882495,1,0,-2.0006607,0.0025782061
0.028000001,0.012941958,1,0,-2.0006669,0.0025901224
0.0285,0.013001696,1,0,-2.0006731,0.0026020939
0.028999999,0.013061709,1,0,-2.0006793,0.002614121
0.0295,0.013121999,1,0,-2.0006855,0.0026262037
0.029999999,0.013182567,1,0,-2.0006919,0.0026383426
0.0305,0.013243415,1,0,-2.0006983,0.0026505375
0.030999999,0.013304545,1,0,-2.0007048,0.0026627891
0.031500001,0.013365955,1,0,-2.0007112,0.0026750974
0.032000002,0.01342765,1,0,-2.0007179,0.0026874628
0.032499999,0.013489629,1,0,-2.0007246,0.0026998858
0.033,0.013551895,1,0,-2.0007312,0.0027123659
0.033500001,0.013614447,1,0,-2.0007379,0.0027249043
0.034000002,0.013677288,1,0,-2.0007448,0.0027375005
0.034499999,0.013740419,1,0,-2.0007517,0.0027501553
0.035,0.013803842,1,0,-2.0007586,0.0027628688
0.035500001,0.013867558,1,0,-2.0007658,0.0027756409
0.035999998,0.013931568,1,0,-2.0007727,0.0027884727
0.036499999,0.013995873,1,0,-2.0007799,0.0028013636
0.037,0.014060475,1,0,-2.0007873,0.0028143146
0.037500001,0.014125375,1,0,-2.0007944,0.0028273256
0.037999999,0.014190575,1,0,-2.0008018,0.0028403967
0.0385,0.014256076,1,0,-2.0008092,0.0028535286
0.039000001,0.014321879,1,0,-2.0008166,0.0028667215
0.039500002,0.014387986,1,0,-2.0008242,0.0028799756
0.039999999,0.014454397,1,0,-2.0008318,0.0028932909
0.0405,0.014521116,1,0,-2.0008395,0.0029066682
0.041000001,0.014588143,1,0,-2.0008473,0.0029201075
0.041499998,0.014655478,1,0,-2.0008552,0.0029336093
0.041999999,0.014723125,1,0,-2.0008631,0.0029471735
0.0425,0.014791084,1,0,-2.0008712,0.0029608007
0.043000001,0.014859356,1,0,-2.0008793,0.0029744911
0.043499999,0.014927944,1,0,-2.0008874,0.0029882451
0.044,0.014996848,1,0,-2.0008955,0.0030020631
0.044500001,0.01506607,1,0,-2.0009038,0.003015945
0.045000002,0.015135612,1,0,-2.0009122,0.0030298913
0.045499999,0.015205476,1,0,-2.0009205,0.0030439023
0.046,0.015275661,1,0,-2.0009291,0.0030579786
0.046500001,0.015346169,1,0,-2.0009377,0.00307212
0.046999998,0.015417005,1,0,-2.0009465,0.0030863271
0.047499999,0.015488166,1,0,-2.0009551,0.0031006003
0.048,0.015559657,1,0,-2.0009639,0.0031149394
0.048500001,0.015631476,1,0,-2.000973,0.0031293454
0.048999999,0.015703628,1,0,-2.000982,0.0031438181
0.0495,0.015776113,1,0,-2.0009911,0.0031583582
0.050000001,0.015848933,1,0,-2.0010002,0.0031729657
0.050500002,0.015922088,1,0,-2.0010095,0.003187641
0.050999999,0.015995581,1,0,-2.0010188,0.0032023846
0.0515,0.016069412,1,0,-2.0010283,0.0032171963
0.052000001,0.016143586,1,0,-2.0010378,0.0032320772
0.052499998,0.016218102,1,0,-2.0010474,0.0032470271
0.052999999,0.016292959,1,0,-2.0010571,0.0032620463
0.0535,0.016368166,1,0,-2.0010669,0.0032771353
0.054000001,0.016443716,1,0,-2.0010767,0.0032922945
0.054499999,0.016519617,1,0,-2.0010867,0.0033075241
0.055,0.016595868,1,0,-2.0010967,0.0033228244
0.055500001,0.016672472,1,0,-2.001107,0.0033381958
0.056000002,0.016749429,1,0,-2.0011172,0.0033536386
0.056499999,0.016826741,1,0,-2.0011275,0.0033691532
0.057,0.01690441,1,0,-2.001138,0.0033847399
0.057500001,0.016982436,1,0,-2.0011485,0.0034003991
0.057999998,0.017060824,1,0,-2.0011592,0.003416131
0.058499999,0.017139573,1,0,-2.0011699,0.003431936
0.059,0.017218687,1,0,-2.0011806,0.0034478146
0.059500001,0.017298164,1,0,-2.0011916,0.003463767
0.059999999,0.017378008,1,0,-2.0012026,0.0034797934
0.0605,0.017458221,1,0,-2.0012138,0.0034958944
0.061000001,0.017538805,1,0,-2.001225,0.0035120703
0.061500002,0.017619761,1,0,-2.0012364,0.0035283214
0.061999999,0.017701089,1,0,-2.0012479,0.0035446479
0.0625,0.017782794,1,0,-2.0012593,0.0035610506
0.063000001,0.017864875,1,0,-2.001271,0.0035775295
0.063500002,0.017947337,1,0,-2.0012827,0.0035940849
0.064000003,0.018030178,1,0,-2.0012946,0.0036107174
0.064499997,0.018113401,1,0,-2.0013068,0.0036274274
0.064999998,0.018197009,1,0,-2.0013187,0.0036442149
0.065499999,0.018281002,1,0,-2.0013311,0.0036610807
0.066,0.018365383,1,0,-2.0013433,0.0036780247
0.066500001,0.018450154,1,0,-2.0013556,0.0036950479
0.067000002,0.018535316,1,0,-2.0013683,0.00371215
0.067500003,0.018620871,1,0,-2.0013809,0.003729332
0.068000004,0.018706821,1,0,-2.0013938,0.0037465938
0.068499997,0.018793168,1,0,-2.0014067,0.003763936
0.068999998,0.018879913,1,0,-2.0014198,0.0037813587
0.069499999,0.018967059,1,0,-2.0014329,0.0037988627
0.07,0.019054607,1,0,-2.001446,0.0038164482
0.070500001,0.019142559,1,0,-2.0014596,0.0038341156
0.071000002,0.019230917,1,0,-2.0014729,0.0038518652
0.071500003,0.019319683,1,0,-2.0014865,0.0038696975
0.071999997,0.019408859,1,0,-2.0015004,0.0038876128
0.072499998,0.019498445,1,0,-2.0015142,0.0039056116
0.072999999,0.019588446,1,0,-2.0015283,0.0039236941
0.0735,0.019678863,1,0,-2.0015426,0.003941861
0.074000001,0.019769697,1,0,-2.0015566,0.0039601126
0.074500002,0.019860949,1,0,-2.0015712,0.0039784489
0.075000003,0.019952623,1,0,-2.0015857,0.0039968709
0.075499997,0.02004472,1,0,-2.0016005,0.0040153787
0.075999998,0.020137243,1,0,-2.0016153,0.0040339725
0.076499999,0.020230193,1,0,-2.0016301,0.0040526534
0.077,0.020323571,1,0,-2.0016453,0.004071421
0.077500001,0.020417379,1,0,-2.0016606,0.0040902765
0.078000002,0.020511622,1,0,-2.0016758,0.0041092196
0.078500003,0.0206063,1,0,-2.0016913,0.0041282512
0.079000004,0.020701414,1,0,-2.0017071,0.0041473713
0.079499997,0.020796968,1,0,-2.0017228,0.0041665807
0.079999998,0.020892961,1,0,-2.0017388,0.0041858796
0.080499999,0.020989399,1,0,-2.001755,0.0042052688
0.081,0.021086281,1,0,-2.0017712,0.0042247479
0.081500001,0.021183612,1,0,-2.0017877,0.0042443182
0.082000002,0.021281391,1,0,-2.0018041,0.0042639798
0.082500003,0.021379622,1,0,-2.0018208,0.0042837332
0.082999997,0.021478305,1,0,-2.0018377,0.0043035788
0.083499998,0.021577444,1,0,-2.0018547,0.004323517
0.083999999,0.021677041,1,0,-2.0018718,0.0043435479
0.0845,0.021777097,1,0,-2.0018892,0.0043636728
0.085000001,0.021877617,1,0,-2.0019069,0.0043838914
0.085500002,0.021978598,1,0,-2.0019245,0.0044042044
0.086000003,0.022080047,1,0,-2.0019422,0.004424612
0.086499996,0.022181964,1,0,-2.0019603,0.0044451156
0.086999997,0.022284351,1,0,-2.0019784,0.0044657141
0.087499999,0.022387212,1,0,-2.0019968,0.0044864095
0.088,0.022490546,1,0,-2.0020151,0.0045072013
0.088500001,0.022594357,1,0,-2.0020339,0.0045280904
0.089000002,0.022698648,1,0,-2.0020528,0.0045490768
0.089500003,0.02280342,1,0,-2.0020716,0.0045701615
0.090000004,0.022908676,1,0,-2.0020909,0.0045913444
0.090499997,0.023014419,1,0,-2.0021102,0.0046126265
0.090999998,0.023120647,1,0,-2.0021298,0.0046340083
0.091499999,0.023227368,1,0,-2.0021496,0.0046554897
0.092,0.023334581,1,0,-2.0021694,0.0046770717
0.092500001,0.023442289,1,0,-2.0021896,0.0046987548
0.093000002,0.023550494,1,0,-2.0022099,0.0047205393
0.093500003,0.023659198,1,0,-2.0022304,0.0047424254
0.093999997,0.023768403,1,0,-2.0022509,0.0047644139
0.094499998,0.023878112,1,0,-2.0022719,0.0047865054
0.094999999,0.023988329,1,0,-2.0022929,0.0048087002
0.0955,0.024099054,1,0,-2.0023141,0.0048309988
0.096000001,0.024210291,1,0,-2.0023355,0.0048534023
0.096500002,0.02432204,1,0,-2.0023572,0.00487591
0.097000003,0.024434306,1,0,-2.0023789,0.0048985234
0.097499996,0.024547089,1,0,-2.0024011,0.0049212426
0.097999997,0.024660394,1,0,-2.0024233,0.0049440679
0.098499998,0.02477422,1,0,-2.0024457,0.0049670003
0.098999999,0.024888573,1,0,-2.0024683,0.0049900403
0.0995,0.025003454,1,0,-2.0024912,0.0050131879
0.1,0.025118865,1,0,-2.0025144,0.0050364444
0.1005,0.025234807,1,0,-2.0025377,0.0050598094
0.101,0.025351286,1,0,-2.0025611,0.0050832839
0.1015,0.025468303,1,0,-2.0025849,0.0051068687
0.102,0.025585858,1,0,-2.0026088,0.0051305639
0.1025,0.025703957,1,0,-2.0026331,0.0051543703
0.103,0.025822602,1,0,-2.0026574,0.0051782881
0.1035,0.025941793,1,0,-2.002682,0.0052023185
0.104,0.026061535,1,0,-2.0027068,0.0052264612
0.1045,0.02618183,1,0,-2.002732,0.0052507175
0.105,0.02630268,1,0,-2.0027573,0.0052750874
0.1055,0.026424088,1,0,-2.0027828,0.0052995714
0.106,0.026546055,1,0,-2.0028086,0.0053241705
0.1065,0.026668586,1,0,-2.0028346,0.0053488854
0.107,0.026791682,1,0,-2.0028608,0.0053737159
0.1075,0.026915347,1,0,-2.0028875,0.0053986632
0.108,0.027039584,1,0,-2.0029142,0.0054237274
0.1085,0.027164392,1,0,-2.0029411,0.0054489095
0.109,0.027289778,1,0,-2.0029683,0.0054742098
0.1095,0.027415741,1,0,-2.002996,0.0054996293
0.11,0.027542287,1,0,-2.0030236,0.005525168
0.1105,0.027669417,1,0,-2.0030518,0.0055508264
0.111,0.027797133,1,0,-2.0030799,0.0055766059
0.1115,0.027925439,1,0,-2.0031085,0.0056025065
0.112,0.028054336,1,0,-2.0031374,0.0056285285
0.1125,0.028183829,1,0,-2.0031664,0.0056546736
0.113,0.02831392,1,0,-2.0031958,0.005680941
0.1135,0.028444611,1,0,-2.0032253,0.0057073324
0.114,0.028575905,1,0,-2.0032554,0.0057338476
0.1145,0.028707806,1,0,-2.0032854,0.0057604876
0.115,0.028840315,1,0,-2.0033159,0.0057872534
0.1155,0.028973436,1,0,-2.0033467,0.0058141449
0.116,0.029107172,1,0,-2.0033777,0.005841163
0.1165,0.029241525,1,0,-2.0034089,0.0058683087
0.117,0.029376496,1,0,-2.0034406,0.005895582
0.1175,0.029512092,1,0,-2.0034723,0.0059229839
0.118,0.029648313,1,0,-2.0035045,0.0059505147
0.1185,0.029785164,1,0,-2.0035372,0.0059781754
0.119,0.029922646,1,0,-2.0035698,0.0060059666
0.1195,0.030060763,1,0,-2.003603,0.0060338886
0.12,0.030199517,1,0,-2.0036364,0.0060619423
0.1205,0.030338911,1,0,-2.00367,0.0060901283
0.121,0.030478951,1,0,-2.0037041,0.0061184475
0.1215,0.030619634,1,0,-2.0037384,0.0061468999
0.122,0.030760968,1,0,-2.003773,0.0061754868
0.1225,0.030902954,1,0,-2.003808,0.0062042088
0.123,0.031045595,1,0,-2.0038433,0.0062330663
0.1235,0.031188896,1,0,-2.0038791,0.0062620603
0.124,0.031332858,1,0,-2.0039151,0.0062911911
0.1245,0.031477485,1,0,-2.0039513,0.0063204593
0.125,0.031622775,1,0,-2.0039878,0.0063498658
0.12549999,0.031768739,1,0,-2.004025,0.0063794116
0.126,0.031915378,1,0,-2.0040622,0.006409097
0.1265,0.032062694,1,0,-2.0040998,0.0064389226
0.127,0.032210689,1,0,-2.0041378,0.0064688893
0.1275,0.032359365,1,0,-2.0041761,0.0064989976
0.12800001,0.032508731,1,0,-2.004215,0.0065292488
0.1285,0.032658782,1,0,-2.0042541,0.006559643
0.12899999,0.032809529,1,0,-2.0042934,0.0065901806
0.1295,0.03296097,1,0,-2.0043333,0.0066208635
0.13,0.033113111,1,0,-2.0043736,0.0066516912
0.1305,0.033265956,1,0,-2.0044141,0.0066826651
0.131,0.033419505,1,0,-2.0044549,0.0067137857
0.13150001,0.033573762,1,0,-2.0044963,0.0067450539
0.132,0.03372873,1,0,-2.0045381,0.0067764702
0.13249999,0.033884417,1,0,-2.00458,0.0068080355
0.133,0.03404082,1,0,-2.0046225,0.0068397508
0.13349999,0.034197945,1,0,-2.0046654,0.0068716165
0.134,0.034355793,1,0,-2.0047088,0.006903633
0.1345,0.034514375,1,0,-2.0047524,0.0069358018
0.13500001,0.034673683,1,0,-2.0047965,0.0069681229
0.1355,0.034833733,1,0,-2.0048409,0.0070005981
0.13600001,0.034994517,1,0,-2.0048859,0.007033227
0.1365,0.035156045,1,0,-2.0049312,0.007066011
0.13699999,0.035318319,1,0,-2.004977,0.0070989509
0.1375,0.035481337,1,0,-2.005023,0.0071320478
0.138,0.035645112,1,0,-2.0050697,0.0071653016
0.13850001,0.035809644,1,0,-2.0051167,0.0071987137
0.139,0.035974935,1,0,-2.0051641,0.0072322846
0.13950001,0.036140986,1,0,-2.0052121,0.0072660153
0.14,0.036307804,1,0,-2.0052605,0.0072999066
0.14049999,0.036475394,1,0,-2.0053091,0.0073339595
0.141,0.036643758,1,0,-2.0053585,0.0073681744
0.1415,0.036812898,1,0,-2.005408,0.0074025523
0.142,0.036982819,1,0,-2.0054584,0.0074370941
0.1425,0.037153523,1,0,-2.0055089,0.0074718003
0.14300001,0.037325017,1,0,-2.0055602,0.0075066723
0.1435,0.037497301,1,0,-2.0056117,0.0075417105
0.14399999,0.037670381,1,0,-2.0056639,0.0075769159
0.1445,0.037844259,1,0,-2.0057163,0.0076122889
0.145,0.038018938,1,0,-2.0057693,0.0076478315
0.1455,0.038194425,1,0,-2.0058229,0.0076835435
0.146,0.038370725,1,0,-2.005877,0.007719426
0.14650001,0.038547836,1,0,-2.0059314,0.0077554798
0.147,0.038725764,1,0,-2.0059865,0.0077917064
0.14749999,0.038904514,1,0,-2.006042,0.0078281062
0.148,0.039084088,1,0,-2.0060983,0.0078646792
0.1485,0.039264493,1,0,-2.0061548,0.0079014283
0.149,0.039445732,1,0,-2.006212,0.0079383524
0.1495,0.039627802,1,0,-2.0062695,0.0079754544
0.15000001,0.039810717,1,0,-2.0063276,0.0080127334
0.1505,0.039994475,1,0,-2.0063865,0.0080501912
0.15099999,0.040179081,1,0,-2.0064456,0.0080878278
0.1515,0.040364541,1,0,-2.0065055,0.0081256451
0.152,0.040550854,1,0,-2.006566,0.008163644
0.1525,0.040738028,1,0,-2.0066268,0.0082018254
0.153,0.040926065,1,0,-2.0066884,0.0082401903
0.15350001,0.041114971,1,0,-2.0067506,0.0082787387
0.154,0.041304749,1,0,-2.0068133,0.0083174724
0.15449999,0.041495405,1,0,-2.0068765,0.0083563924
0.155,0.041686937,1,0,-2.0069404,0.0083954995
0.15549999,0.041879356,1,0,-2.0070047,0.0084347939
0.156,0.042072661,1,0,-2.0070698,0.0084742783
0.1565,0.042266861,1,0,-2.0071354,0.0085139517
0.15700001,0.042461958,1,0,-2.0072017,0.0085538169
0.1575,0.042657953,1,0,-2.0072687,0.0085938731
0.15800001,0.042854853,1,0,-2.0073361,0.008634123
0.1585,0.043052662,1,0,-2.0074043,0.0086745666
0.15899999,0.043251384,1,0,-2.007473,0.0087152049
0.1595,0.043451022,1,0,-2.0075424,0.0087560397
0.16,0.043651585,1,0,-2.0076125,0.0087970709
0.1605,0.043853071,1,0,-2.0076833,0.0088383006
0.161,0.044055488,1,0,-2.0077546,0.0088797295
0.16150001,0.044258837,1,0,-2.0078266,0.0089213578
0.162,0.044463128,1,0,-2.0078993,0.0089631882
0.16249999,0.044668358,1,0,-2.0079727,0.0090052197
0.163,0.044874538,1,0,-2.0080466,0.0090474552
0.1635,0.045081671,1,0,-2.0081215,0.0090898946
0.164,0.045289759,1,0,-2.0081968,0.0091325399
0.1645,0.045498807,1,0,-2.0082731,0.0091753919
0.16500001,0.04570882,1,0,-2.0083499,0.0092184506
0.1655,0.045919802,1,0,-2.0084276,0.009261718
