"Time","currentSensor1.i","currentSensor2.i","integrator1.y","der1.y","integrator2.y","der2.y"
0,0,0,0,0,0,0
1e-07,0,0,0,0,0,0
2e-07,0,0,0,0,0,0
3.0000001e-07,0,0,0,0,0,0
4e-07,0,0,0,0,0,0
5e-07,0,0,0,0,0,0
6.0000002e-07,0,0,0,0,0,0
6.9999999e-07,0,0,0,0,0,0
8.0000001e-07,0,0,0,0,0,0
8.9999997e-07,0,0,0,0,0,0
1e-06,0,0,0,0,0,0
1.1e-06,0,0,0,0,0,0
1.2e-06,0,0,0,0,0,0
1.3e-06,0,0,0,0,0,0
1.4e-06,0,0,0,0,0,0
1.5000001e-06,0,0,0,0,0,0
1.6e-06,0,0,0,0,0,0
1.7e-06,0,0,0,0,0,0
1.7999999e-06,0,0,0,0,0,0
1.9e-06,0,0,0,0,0,0
2e-06,0,0,0,0,0,0
2.1000001e-06,0,0,0,0,0,0
2.1999999e-06,0,0,0,0,0,0
2.3e-06,0,0,0,0,0,0
2.4000001e-06,0,0,0,0,0,0
2.4999999e-06,0,0,0,0,0,0
2.6e-06,0,0,0,0,0,0
2.7000001e-06,0,0,0,0,0,0
2.7999999e-06,0,0,0,0,0,0
2.9e-06,0,0,0,0,0,0
3.0000001e-06,0,0,0,0,0,0
3.1e-06,0,0,0,0,0,0
3.2e-06,0,0,0,0,0,0
3.2999999e-06,0,0,0,0,0,0
3.4e-06,0,0,0,0,0,0
3.5e-06,0,0,0,0,0,0
3.5999999e-06,0,0,0,0,0,0
3.7e-06,0,0,0,0,0,0
3.8000001e-06,0,0,0,0,0,0
3.9000001e-06,0,0,0,0,0,0
4e-06,0,0,0,0,0,0
4.0999998e-06,0,0,0,0,0,0
4.2000001e-06,0,0,0,0,0,0
4.3e-06,0,0,0,0,0,0
4.3999999e-06,0,0,0,0,0,0
4.5000002e-06,0,0,0,0,0,0
4.6e-06,0,0,0,0,0,0
4.6999999e-06,0,0,0,0,0,0
4.8000002e-06,0,0,0,0,0,0
4.9e-06,0,0,0,0,0,0
4.9999999e-06,0,0,0,0,0,0
5.1000002e-06,0,0,0,0,0,0
5.2e-06,0,0,0,0,0,0
5.2999999e-06,0,0,0,0,0,0
5.4000002e-06,0,0,0,0,0,0
5.5e-06,0,0,0,0,0,0
5.5999999e-06,0,0,0,0,0,0
5.7000002e-06,0,0,0,0,0,0
5.8000001e-06,0,0,0,0,0,0
5.8999999e-06,0,0,0,0,0,0
