"Time","loadInertia.w","loadInertia.phi","armature.T","dcpm.la.i","core.T"
0,157.07964,0,293.14999,0,293.14999
0.001,156.76138,0.15692049,293.14999,0.066935897,293.14999
0.0020000001,156.44341,0.31352285,293.14999,0.26530531,293.14999
0.003,156.12599,0.46980751,293.14999,0.5914312,293.14999
0.0040000002,155.8094,0.62577516,293.14999,1.0416229,293.14999
0.0049999999,155.4939,0.78142667,293.14999,1.6121775,293.14999
0.0060000001,155.17973,0.93676341,293.15002,2.2993829,293.14999
0.0070000002,154.86714,1.0917866,293.15002,3.0995226,293.14999
0.0080000004,154.55637,1.2464982,293.15005,4.0088787,293.14999
0.0089999996,154.24763,1.4009001,293.15009,5.0237346,293.14999
0.0099999998,153.94116,1.5549942,293.15015,6.1403804,293.14999
0.011,153.63716,1.7087833,293.15024,7.355113,293.14999
0.012,153.33585,1.8622695,293.15039,8.6642418,293.14999
0.013,153.0374,2.015456,293.15054,10.064091,293.14999
0.014,152.74202,2.1683452,293.15079,11.550999,293.14999
0.015,152.44987,2.320941,293.15109,13.121328,293.14999
0.016000001,152.16116,2.4732461,293.15149,14.771461,293.14999
0.017000001,151.87602,2.6252644,293.15198,16.497808,293.14999
0.017999999,151.59464,2.7769995,293.15259,18.296804,293.14999
0.018999999,151.31712,2.9284551,293.15335,20.164917,293.14999
0.02,151.04366,3.0796351,293.15424,22.098644,293.14999
0.021,150.77437,3.2305439,293.1553,24.094522,293.14999
0.022,150.50937,3.3811853,293.15659,26.149122,293.15002
0.023,150.24878,3.531564,293.15808,28.25905,293.15002
0.024,149.99274,3.6816843,293.15982,30.420961,293.15002
0.025,149.74133,3.8315511,293.1618,32.631546,293.15002
0.026000001,149.49466,3.9811685,293.16412,34.887547,293.15002
0.027000001,149.25282,4.1305418,293.16672,37.185741,293.15002
0.028000001,149.01591,4.279676,293.16968,39.522964,293.15002
0.028999999,148.784,4.4285755,293.17303,41.896099,293.15005
0.029999999,148.55714,4.5772457,293.17676,44.302074,293.15005
0.030999999,148.33543,4.7256913,293.18094,46.737877,293.15005
0.032000002,148.11893,4.8739181,293.18555,49.200539,293.15009
0.033,147.90767,5.0219312,293.19067,51.68716,293.15009
0.034000002,147.70171,5.1697354,293.19632,54.194881,293.15012
0.035,147.50108,5.3173361,293.20248,56.720913,293.15012
0.035999998,147.30585,5.4647393,293.20926,59.262508,293.15015
0.037,147.11601,5.6119494,293.21661,61.816994,293.15018
0.037999999,146.93161,5.7589731,293.22461,64.381744,293.15018
0.039000001,146.75267,5.9058146,293.23328,66.954201,293.15021
0.039999999,146.57918,6.0524802,293.24261,69.531868,293.15024
0.041000001,146.41116,6.1989751,293.25269,72.112297,293.1503
0.041999999,146.24864,6.3453045,293.26352,74.693115,293.15033
0.043000001,146.09158,6.4914742,293.27509,77.272011,293.15036
0.044,145.93999,6.6374893,293.28748,79.846725,293.15042
0.045000002,145.79385,6.7833557,293.30066,82.41507,293.15048
0.046,145.65315,6.9290791,293.31473,84.974915,293.15051
0.046999998,145.51788,7.0746641,293.32962,87.5242,293.15057
0.048,145.38802,7.2201166,293.34543,90.060936,293.15067
0.048999999,145.2635,7.3654418,293.36215,92.583176,293.15073
0.050000001,145.14433,7.5106454,293.37979,95.089058,293.15082
0.050999999,145.03047,7.6557322,293.39838,97.576752,293.15091
0.052000001,144.92186,7.8007083,293.41791,100.04454,293.151
0.052999999,144.81845,7.9455776,293.43845,102.49072,293.15109
0.054000001,144.72021,8.0903463,293.45996,104.91368,293.15118
0.055,144.62711,8.2350197,293.48248,107.31187,293.15131
0.056000002,144.53905,8.3796024,293.50604,109.68379,293.15143
0.057,144.45599,8.5240993,293.53061,112.02802,293.15158
0.057999998,144.37788,8.6685162,293.55624,114.34317,293.1517
0.059,144.30466,8.8128576,293.58289,116.62795,293.15186
0.059999999,144.23625,8.9571276,293.6106,118.88111,293.15204
0.061000001,144.17259,9.1013317,293.63937,121.10148,293.15219
0.061999999,144.1136,9.2454739,293.66919,123.2879,293.15237
0.063000001,144.05922,9.3895597,293.7001,125.43935,293.15256
0.064000003,144.00935,9.5335941,293.73206,127.55479,293.15277
0.064999998,143.96394,9.6775799,293.76505,129.63329,293.15298
0.066,143.92291,9.8215237,293.7991,131.67395,293.15323
0.067000002,143.88615,9.9654274,293.83423,133.67595,293.15344
0.068000004,143.85362,10.109297,293.87039,135.6385,293.15372
0.068999998,143.8252,10.253137,293.90762,137.56088,293.15399
0.07,143.80081,10.396949,293.94586,139.44244,293.15427
0.071000002,143.78038,10.540739,293.98514,141.28258,293.15454
0.071999997,143.76381,10.684511,294.02542,143.0807,293.15485
0.072999999,143.75101,10.828268,294.06671,144.83633,293.15518
0.074000001,143.74188,10.972014,294.10898,146.549,293.15552
0.075000003,143.73634,11.115753,294.15222,148.21829,293.15588
0.075999998,143.73431,11.259488,294.19644,149.84389,293.15625
0.077,143.73567,11.403223,294.24158,151.42546,293.15662
0.078000002,143.74034,11.546961,294.28766,152.96275,293.15701
0.079000004,143.74823,11.690704,294.33466,154.45555,293.15744
0.079999998,143.75925,11.834458,294.38254,155.90369,293.15787
0.081,143.77328,11.978224,294.4313,157.30707,293.15833
0.082000002,143.79024,12.122005,294.4809,158.66557,293.15878
0.082999997,143.81004,12.265805,294.53131,159.9792,293.15927
0.083999999,143.83258,12.409627,294.58255,161.24796,293.15979
0.085000001,143.85777,12.553472,294.63455,162.47186,293.16031
0.086000003,143.8855,12.697343,294.68735,163.65102,293.16086
0.086999997,143.9157,12.841244,294.74084,164.78557,293.16141
0.088,143.94824,12.985175,294.79507,165.87566,293.16199
0.089000002,143.98306,13.129141,294.84998,166.92148,293.1626
0.090000004,144.02005,13.273142,294.90552,167.92326,293.16321
0.090999998,144.05911,13.417182,294.96173,168.8813,293.16385
0.092,144.10017,13.561261,295.01852,169.79587,293.16452
0.093000002,144.14313,13.705382,295.0759,170.66731,293.16519
0.093999997,144.18788,13.849548,295.13382,171.49599,293.16589
0.094999999,144.23434,13.993759,295.19229,172.28229,293.16663
0.096000001,144.28244,14.138018,295.25125,173.02663,293.16736
0.097000003,144.33206,14.282325,295.31067,173.72946,293.16812
0.097999997,144.38313,14.426682,295.37054,174.39125,293.16891
0.098999999,144.43558,14.571091,295.43085,175.01251,293.16971
0.1,144.48929,14.715553,295.49152,175.59375,293.17053
0.101,144.54419,14.86007,295.55258,176.13553,293.17139
0.102,144.60019,15.004642,295.61395,176.63838,293.17224
0.103,144.65723,15.149271,295.67563,177.10292,293.17316
0.104,144.71521,15.293958,295.73761,177.52975,293.17407
0.105,144.77405,15.438702,295.79984,177.91949,293.17499
0.106,144.83368,15.583506,295.8623,178.2728,293.17596
0.107,144.89403,15.72837,295.92496,178.5903,293.17694
0.108,144.955,15.873295,295.98779,178.8727,293.17795
0.109,145.01656,16.01828,296.05078,179.12067,293.17896
0.11,145.07858,16.163328,296.11392,179.33492,293.18002
0.111,145.14104,16.308437,296.17712,179.51614,293.18109
0.112,145.20383,16.453611,296.24045,179.6651,293.18216
0.113,145.26692,16.598846,296.3038,179.78249,293.18329
0.114,145.33023,16.744144,296.36722,179.86905,293.18442
0.115,145.39368,16.889507,296.43063,179.92558,293.18558
0.116,145.45721,17.034933,296.49402,179.95282,293.18677
0.117,145.52078,17.180422,296.5574,179.95152,293.18796
0.118,145.5843,17.325975,296.6207,179.92247,293.18918
0.119,145.64775,17.47159,296.68396,179.86644,293.19043
0.12,145.71104,17.61727,296.7471,179.78418,293.19171
0.121,145.77414,17.763014,296.81015,179.6765,293.19299
0.122,145.83699,17.908819,296.87308,179.54419,293.19431
0.123,145.89952,18.054688,296.93585,179.38806,293.19565
0.124,145.9617,18.200619,296.99844,179.20886,293.19699
0.125,146.02347,18.346611,297.06088,179.00739,293.19836
0.126,146.08479,18.492664,297.12311,178.78442,293.19977
0.127,146.14563,18.638781,297.18515,178.54073,293.2012
0.12800001,146.20593,18.784956,297.24695,178.2771,293.20264
0.12899999,146.26564,18.931192,297.3085,177.99435,293.2041
0.13,146.32474,19.077488,297.36981,177.69327,293.2056
0.131,146.38318,19.223841,297.43085,177.37457,293.20709
0.132,146.44092,19.370253,297.49161,177.03906,293.20862
0.133,146.49794,19.516724,297.55206,176.68747,293.21017
0.134,146.5542,19.66325,297.61224,176.32054,293.21176
0.13500001,146.60965,19.809832,297.67212,175.93907,293.21335
0.13600001,146.66429,19.956469,297.73166,175.54382,293.21497
0.13699999,146.71808,20.103159,297.79089,175.1355,293.21658
0.138,146.77098,20.249905,297.84976,174.71483,293.21823
0.139,146.82298,20.3967,297.90829,174.28252,293.21991
0.14,146.87405,20.543549,297.96649,173.83928,293.22162
0.141,146.92418,20.690449,298.02432,173.38583,293.22333
0.142,146.97333,20.837397,298.08179,172.92288,293.22507
0.14300001,147.02147,20.984394,298.13885,172.4511,293.22681
0.14399999,147.06862,21.131439,298.19559,171.97113,293.22858
0.145,147.11473,21.278532,298.25192,171.48366,293.23038
0.146,147.15982,21.425669,298.30786,170.98932,293.23218
0.147,147.20384,21.572851,298.36343,170.48878,293.23401
0.148,147.24678,21.720076,298.41861,169.98265,293.23587
0.149,147.28865,21.867344,298.47339,169.47154,293.23773
0.15000001,147.32944,22.014654,298.52777,168.95605,293.23962
0.15099999,147.36913,22.162003,298.58176,168.43677,293.24152
0.152,147.4077,22.309391,298.63535,167.91428,293.24344
0.153,147.44518,22.456818,298.68854,167.38914,293.24539
0.154,147.48152,22.60428,298.74133,166.86194,293.24734
0.155,147.51675,22.751781,298.79373,166.33316,293.24933
0.156,147.55086,22.899315,298.8457,165.80334,293.25131
0.15700001,147.58385,23.046883,298.89731,165.27301,293.25333
0.15800001,147.61571,23.194481,298.94852,164.74266,293.25534
0.15899999,147.64644,23.342113,298.99933,164.21277,293.25739
0.16,147.67604,23.489775,299.04974,163.68382,293.25946
0.161,147.70453,23.637465,299.09976,163.15625,293.26154
0.162,147.7319,23.785183,299.14938,162.63051,293.26364
0.163,147.75815,23.932928,299.19864,162.10703,293.26575
0.164,147.78331,24.080698,299.2475,161.58623,293.26788
0.16500001,147.80736,24.228495,299.29599,161.06851,293.27002
0.16599999,147.83031,24.376312,299.34409,160.55424,293.27219
0.167,147.85217,24.524155,299.39182,160.04382,293.27438
0.168,147.87296,24.672016,299.43918,159.5376,293.27655
0.169,147.89267,24.819901,299.48621,159.03592,293.27878
0.17,147.91133,24.967802,299.53284,158.53912,293.28101
0.171,147.92894,25.115723,299.57913,158.04752,293.28323
0.17200001,147.94551,25.263659,299.62506,157.56142,293.28549
0.17299999,147.96104,25.411613,299.67062,157.0811,293.28778
0.17399999,147.97559,25.559582,299.71588,156.60687,293.29004
0.175,147.98911,25.707563,299.76077,156.13898,293.29236
0.176,148.00166,25.855558,299.80536,155.67767,293.29468
0.177,148.01323,26.003567,299.84961,155.22319,293.297
0.178,148.02385,26.151585,299.89355,154.77577,293.29935
0.17900001,148.03352,26.299614,299.93716,154.33562,293.3017
0.18000001,148.04228,26.447651,299.98047,153.90294,293.30408
0.18099999,148.05011,26.595697,300.02347,153.47792,293.30646
0.182,148.05707,26.743752,300.06616,153.06075,293.30887
0.183,148.06313,26.891811,300.10858,152.65157,293.31128
0.184,148.06834,27.039877,300.15073,152.25055,293.31372
0.185,148.07271,27.187948,300.19257,151.85782,293.31616
0.186,148.07625,27.336023,300.23413,151.47351,293.3186
0.18700001,148.07899,27.4841,300.27545,151.09776,293.32108
0.18799999,148.08093,27.632181,300.3165,150.73065,293.32355
0.189,148.08212,27.780262,300.3573,150.3723,293.32605
0.19,148.08255,27.928345,300.39783,150.02277,293.32855
0.191,148.08224,28.076427,300.43814,149.68216,293.33109
0.192,148.08122,28.224508,300.47821,149.35052,293.33362
0.193,148.07951,28.372589,300.51804,149.02791,293.33618
0.19400001,148.07712,28.520668,300.55765,148.71439,293.33875
0.19499999,148.07408,28.668743,300.59705,148.40996,293.34131
0.19599999,148.0704,28.816814,300.6362,148.11467,293.3439
0.197,148.0661,28.964884,300.6752,147.82855,293.3465
0.198,148.06122,29.112947,300.71396,147.55159,293.34909
0.199,148.05574,29.261005,300.75253,147.28378,293.35172
0.2,148.04971,29.40906,300.79092,147.02515,293.35437
0.20100001,148.04314,29.557104,300.82913,146.77565,293.35699
0.20200001,148.03606,29.705145,300.86719,146.53526,293.35968
0.20299999,148.02846,29.853176,300.90506,146.30396,293.36234
0.204,148.0204,30.001202,300.94275,146.0817,293.36502
0.205,148.01186,30.149218,300.98029,145.86844,293.36771
0.206,148.00288,30.297224,301.01767,145.66412,293.37042
0.207,147.99348,30.445223,301.05493,145.4687,293.37314
