"Time","aimc.idq_rr[2]","mass.s","aimc.idq_sr[1]","mass.v","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0,0,0,-0,0,-0,0,-0,0,0
0.001,0.10342581,9.4671904e-21,8.5979036e-06,7.2926532e-17,8.5979036e-06,-8.2990719e-06,-0.092849702,0.00015708071,-0.10720864
0.0020000001,0.39919794,2.9673626e-18,0.0001338641,1.1777983e-14,0.0001338641,-0.00012910386,-0.3589403,0.00062831963,-0.41439128
0.003,0.86724257,8.052412e-17,0.00066380581,2.1496041e-13,0.00066380581,-0.00063965947,-0.78110474,0.0014137177,-0.90155888
0.0040000002,1.4895416,8.5236841e-16,0.0020561428,1.6430299e-12,0.0020561428,-0.0019796581,-1.3440324,0.0025132752,-1.5507678
0.0049999999,2.2499225,5.0181277e-15,0.0049215024,7.7811516e-12,0.0049215024,-0.0047343588,-2.0340788,0.003926992,-2.3459105
0.0060000001,3.1338682,2.1085769e-14,0.01000825,2.7451999e-11,0.01000825,-0.0096193589,-2.8390958,0.0056548677,-3.2725272
0.0070000002,4.1283445,7.0886608e-14,0.018188609,7.9064262e-11,0.018188609,-0.017466662,-3.7482738,0.0076969033,-4.3176327
0.0080000004,5.2216468,2.0163533e-13,0.030446518,1.963312e-10,0.030446518,-0.02921249,-4.7520051,0.010053097,-5.4695649
0.0089999996,6.4032636,5.0487809e-13,0.047866747,4.3564333e-10,0.047866747,-0.045886356,-5.8417606,0.012723451,-6.7178483
0.0099999998,7.6637516,1.1435556e-12,0.071624935,8.8479668e-10,0.071624935,-0.068601072,-7.0099759,0.015707964,-8.0530701
0.011,8.9946241,2.3883525e-12,0.10297862,1.6731954e-09,0.10297862,-0.098543741,-8.2499514,0.019006636,-9.4667683
0.012,10.388247,4.6648028e-12,0.14325918,2.9834015e-09,0.14325918,-0.13696769,-9.5557604,0.022619469,-10.951331
0.013,11.837753,8.6128838e-12,0.19386466,5.0639346e-09,0.19386466,-0.1851853,-10.922168,0.02654646,-12.499906
0.014,13.336957,1.515982e-11,0.25625321,8.243183e-09,0.25625321,-0.24456137,-12.344555,0.03078761,-14.106317
0.015,14.880282,2.5607337e-11,0.33193713,1.2944334e-08,0.33193716,-0.31650722,-13.818856,0.035342917,-15.764997
0.016000001,16.462694,4.1734383e-11,0.42247757,1.970119e-08,0.4224776,-0.40247536,-15.341495,0.040212385,-17.470915
0.017000001,18.079641,6.5915988e-11,0.5294795,2.9174776e-08,0.52947956,-0.50395441,-16.90933,0.045396015,-19.219519
0.017999999,19.727003,1.0125873e-10,0.65458733,4.2170598e-08,0.65458739,-0.62246495,-18.519613,0.050893802,-21.006681
0.018999999,21.401035,1.5175446e-10,0.7994808,5.9656493e-08,0.79948097,-0.75955516,-20.169935,0.056705747,-22.828655
0.02,23.098331,2.2245164e-10,0.96587127,8.2780929e-08,0.96587151,-0.9167971,-21.858191,0.062831856,-24.682018
0.021,24.815781,3.1964525e-10,1.1554979,1.1289173e-07,1.1554983,-1.0957834,-23.582542,0.069272116,-26.563648
0.022,26.550533,4.5109078e-10,1.3701249,1.51555e-07,1.3701254,-1.2981237,-25.341389,0.076026544,-28.470673
0.023,28.299967,6.2623212e-10,1.6115381,2.0057439e-07,1.6115389,-1.5254421,-27.133329,0.083095126,-30.400448
0.024,30.061653,8.5642865e-10,1.8815416,2.6201027e-07,1.8815428,-1.7793736,-28.957144,0.090477869,-32.350521
0.025,31.833338,1.155227e-09,2.1819561,3.3819919e-07,2.1819575,-2.0615621,-30.81176,0.098174773,-34.318604
0.026000001,33.612907,1.5386749e-09,2.5146146,4.3177351e-07,2.5146167,-2.3736567,-32.696236,0.10618583,-36.302547
0.027000001,35.398388,2.0256103e-09,2.881362,5.4568051e-07,2.8813651,-2.7173109,-34.609745,0.11451105,-38.300335
0.028000001,37.187889,2.6379627e-09,3.2840502,6.8320179e-07,3.2840545,-3.094178,-36.551548,0.12315043,-40.310043
0.028999999,38.979622,3.4011411e-09,3.7245374,8.4797233e-07,3.7245431,-3.5059109,-38.520973,0.13210398,-42.329823
0.029999999,40.771866,4.3443773e-09,4.2046847,1.0439992e-06,4.2046924,-3.9541574,-40.517414,0.14137167,-44.357899
0.030999999,42.562946,5.5010774e-09,4.7263527,1.2756809e-06,4.7263632,-4.4405594,-42.540302,0.15095353,-46.392544
0.032000002,44.351242,6.9092745e-09,5.2914014,1.5478246e-06,5.2914147,-4.9667501,-44.589104,0.16084954,-48.432064
0.033,46.135143,8.6120124e-09,5.9016852,1.8656652e-06,5.9017029,-5.5343513,-46.663292,0.17105973,-50.474781
0.034000002,47.913067,1.065778e-08,6.559051,2.2348827e-06,6.5590734,-6.1449699,-48.762352,0.18158406,-52.519035
0.035,49.683434,1.3100997e-08,7.265336,2.6616187e-06,7.2653646,-6.8001976,-50.885761,0.19242255,-54.56316
0.035999998,51.444664,1.6002446e-08,8.0223646,3.1524939e-06,8.0224009,-7.5016055,-53.032978,0.20357521,-56.60548
