"Time","resistor_e.i[1]","resistor_e.i[2]","resistor_s.i[1]","resistor_s.i[2]","resistor_m.i[1]","resistor_m.i[2]"
0,0,0,-0,-0,0,-0
0.0049999999,0.70681292,-0.34378976,0.70681292,-0.34378976,0.70681292,-0.34378976
0.0099999998,1.4125761,-0.66783732,1.4125761,-0.66783732,1.4125761,-0.66783732
0.015,2.1165919,-0.97183281,2.1165919,-0.97183281,2.1165919,-0.97183281
0.02,2.818166,-1.2554848,2.818166,-1.2554848,2.818166,-1.2554848
0.025,3.5166059,-1.518523,3.5166059,-1.518523,3.5166059,-1.518523
0.029999999,4.2112226,-1.7606976,4.2112226,-1.7606976,4.2112226,-1.7606976
0.035,4.9013314,-1.9817786,4.9013314,-1.9817786,4.9013314,-1.9817786
0.039999999,5.5862508,-2.1815579,5.5862508,-2.1815579,5.5862508,-2.1815579
0.045000002,6.265305,-2.3598483,6.265305,-2.3598483,6.265305,-2.3598483
0.050000001,6.9378238,-2.5164835,6.9378238,-2.5164835,6.9378238,-2.5164835
0.055,7.6031442,-2.6513186,7.6031442,-2.6513186,7.6031442,-2.6513186
0.059999999,8.2606096,-2.7642305,8.2606096,-2.7642305,8.2606096,-2.7642305
0.064999998,8.9095716,-2.8551168,8.9095716,-2.8551168,8.9095716,-2.8551168
0.07,9.5493898,-2.923898,9.5493898,-2.923898,9.5493898,-2.923898
0.075000003,10.179433,-2.9705153,10.179433,-2.9705153,10.179433,-2.9705153
0.079999998,10.799078,-2.9949324,10.799078,-2.9949324,10.799078,-2.9949324
0.085000001,11.407716,-2.9971352,11.407716,-2.9971352,11.407716,-2.9971352
0.090000004,12.004745,-2.9771311,12.004745,-2.9771311,12.004745,-2.9771311
0.094999999,12.589577,-2.9349494,12.589577,-2.9349494,12.589577,-2.9349494
0.1,13.161633,-2.8706415,13.161633,-2.8706415,13.161633,-2.8706415
0.105,13.720351,-2.7842803,13.720351,-2.7842803,13.720351,-2.7842803
0.11,14.26518,-2.6759608,14.26518,-2.6759608,14.26518,-2.6759608
0.115,14.795579,-2.5457995,14.795579,-2.5457995,14.795579,-2.5457995
0.12,15.311028,-2.3939342,15.311028,-2.3939342,15.311028,-2.3939342
0.125,15.811018,-2.2205245,15.811018,-2.2205245,15.811018,-2.2205245
0.13,16.295055,-2.0257514,16.295055,-2.0257514,16.295055,-2.0257514
0.13500001,16.762663,-1.8098162,16.762663,-1.8098162,16.762663,-1.8098162
0.14,17.213377,-1.5729419,17.213377,-1.5729419,17.213377,-1.5729419
0.145,17.646757,-1.3153719,17.646757,-1.3153719,17.646757,-1.3153719
0.15000001,18.062372,-1.0373695,18.062372,-1.0373695,18.062372,-1.0373695
0.155,18.459814,-0.73921925,18.459814,-0.73921925,18.459814,-0.73921925
