"Time","eddyCurrentForce.lossPower","mass.s","heatCapacitor.T"
0,0,0,293.14999
0.00050000002,0,0.0099999998,293.14999
0.001,0,0.02,293.14999
0.0015,0,0.029999999,293.14999
0.0020000001,0,0.039999999,293.14999
0.0024999999,0,0.050000001,293.14999
0.003,0,0.059999999,293.14999
0.0035000001,0,0.07,293.14999
0.0040000002,0,0.079999998,293.14999
0.0044999998,0,0.090000004,293.14999
0.0049999999,0,0.1,293.14999
0.0055,0,0.11,293.14999
0.0060000001,0,0.12,293.14999
0.0065000001,0,0.13,293.14999
0.0070000002,0,0.14,293.14999
0.0074999998,0,0.15000001,293.14999
0.0080000004,0,0.16,293.14999
0.0085000005,0,0.17,293.14999
0.0089999996,0,0.18000001,293.14999
0.0094999997,0,0.19,293.14999
0.0099999998,0,0.2,293.14999
0.0105,0,0.20999999,293.14999
0.011,0,0.22,293.14999
0.0115,0,0.23,293.14999
0.012,0,0.23999999,293.14999
0.0125,0,0.25,293.14999
0.013,0,0.25999999,293.14999
0.0135,0,0.27000001,293.14999
0.014,0,0.28,293.14999
0.0145,0,0.28999999,293.14999
0.015,0,0.30000001,293.14999
0.0155,0,0.31,293.14999
0.016000001,0,0.31999999,293.14999
0.0165,0,0.33000001,293.14999
0.017000001,0,0.34,293.14999
0.0175,0,0.34999999,293.14999
0.017999999,0,0.36000001,293.14999
0.0185,0,0.37,293.14999
0.018999999,0,0.38,293.14999
0.0195,0,0.38999999,293.14999
0.02,0,0.40000001,293.14999
0.020500001,0,0.41,293.14999
0.021,0,0.41999999,293.14999
0.021500001,0,0.43000001,293.14999
0.022,0,0.44,293.14999
0.022500001,0,0.44999999,293.14999
0.023,0,0.46000001,293.14999
0.023499999,0,0.47,293.14999
0.024,0,0.47999999,293.14999
0.024499999,0,0.49000001,293.14999
0.025,0,0.5,293.14999
0.0255,0,0.50999999,293.14999
0.026000001,0,0.51999998,293.14999
0.0265,0,0.52999997,293.14999
0.027000001,0,0.54000002,293.14999
0.0275,0,0.55000001,293.14999
0.028000001,0,0.56,293.14999
0.0285,0,0.56999999,293.14999
0.028999999,0,0.57999998,293.14999
0.0295,0,0.58999997,293.14999
0.029999999,0,0.60000002,293.14999
0.0305,0,0.61000001,293.14999
0.030999999,0,0.62,293.14999
0.031500001,0,0.63,293.14999
0.032000002,0,0.63999999,293.14999
0.032499999,0,0.64999998,293.14999
0.033,0,0.66000003,293.14999
0.033500001,0,0.67000002,293.14999
0.034000002,0,0.68000001,293.14999
0.034499999,0,0.69,293.14999
0.035,0,0.69999999,293.14999
0.035500001,0,0.70999998,293.14999
0.035999998,0,0.72000003,293.14999
0.036499999,0,0.73000002,293.14999
0.037,0,0.74000001,293.14999
0.037500001,0,0.75,293.14999
0.037999999,0,0.75999999,293.14999
0.0385,0,0.76999998,293.14999
0.039000001,0,0.77999997,293.14999
0.039500002,0,0.79000002,293.14999
0.039999999,0,0.80000001,293.14999
0.0405,0,0.81,293.14999
0.041000001,0,0.81999999,293.14999
0.041499998,0,0.82999998,293.14999
0.041999999,0,0.83999997,293.14999
0.0425,0,0.85000002,293.14999
0.043000001,0,0.86000001,293.14999
0.043499999,0,0.87,293.14999
0.044,0,0.88,293.14999
0.044500001,0,0.88999999,293.14999
0.045000002,0,0.89999998,293.14999
0.045499999,0,0.91000003,293.14999
0.046,0,0.92000002,293.14999
0.046500001,0,0.93000001,293.14999
0.046999998,0,0.94,293.14999
0.047499999,0,0.94999999,293.14999
0.048,0,0.95999998,293.14999
0.048500001,0,0.97000003,293.14999
0.048999999,0,0.98000002,293.14999
0.0495,0,0.99000001,293.14999
0.050000001,0,1,293.14999
0.050500002,0,1.01,293.14999
0.050999999,0,1.02,293.14999
0.0515,0,1.03,293.14999
0.052000001,0,1.04,293.14999
0.052499998,0,1.05,293.14999
0.052999999,0,1.0599999,293.14999
0.0535,0,1.0700001,293.14999
0.054000001,0,1.08,293.14999
0.054499999,0,1.09,293.14999
0.055,0,1.1,293.14999
0.055500001,0,1.11,293.14999
0.056000002,0,1.12,293.14999
0.056499999,0,1.13,293.14999
0.057,0,1.14,293.14999
0.057500001,0,1.15,293.14999
0.057999998,0,1.16,293.14999
0.058499999,0,1.17,293.14999
0.059,0,1.1799999,293.14999
0.059500001,0,1.1900001,293.14999
0.059999999,0,1.2,293.14999
0.0605,0,1.21,293.14999
0.061000001,0,1.22,293.14999
0.061500002,0,1.23,293.14999
0.061999999,0,1.24,293.14999
0.0625,0,1.25,293.14999
0.063000001,0,1.26,293.14999
0.063500002,0,1.27,293.14999
0.064000003,0,1.28,293.14999
0.064499997,0,1.29,293.14999
0.064999998,0,1.3,293.14999
0.065499999,0,1.3099999,293.14999
0.066,0,1.3200001,293.14999
0.066500001,0,1.33,293.14999
0.067000002,0,1.34,293.14999
0.067500003,0,1.35,293.14999
0.068000004,0,1.36,293.14999
0.068499997,0,1.37,293.14999
0.068999998,0,1.38,293.14999
0.069499999,0,1.39,293.14999
0.07,0,1.4,293.14999
0.070500001,0,1.41,293.14999
0.071000002,0,1.42,293.14999
0.071500003,0,1.4299999,293.14999
0.071999997,0,1.4400001,293.14999
0.072499998,0,1.45,293.14999
0.072999999,0,1.46,293.14999
0.0735,0,1.47,293.14999
0.074000001,0,1.48,293.14999
0.074500002,0,1.49,293.14999
0.075000003,0,1.5,293.14999
0.075499997,0,1.51,293.14999
0.075999998,0,1.52,293.14999
0.076499999,0,1.53,293.14999
0.077,0,1.54,293.14999
0.077500001,0,1.55,293.14999
0.078000002,0,1.5599999,293.14999
0.078500003,0,1.5700001,293.14999
0.079000004,0,1.58,293.14999
0.079499997,0,1.59,293.14999
0.079999998,0,1.6,293.14999
0.080499999,0,1.61,293.14999
0.081,0,1.62,293.14999
0.081500001,0,1.63,293.14999
0.082000002,0,1.64,293.14999
0.082500003,0,1.65,293.14999
0.082999997,0,1.66,293.14999
0.083499998,0,1.67,293.14999
0.083999999,0,1.6799999,293.14999
0.0845,0,1.6900001,293.14999
0.085000001,0,1.7,293.14999
0.085500002,0,1.71,293.14999
0.086000003,0,1.72,293.14999
0.086499996,0,1.73,293.14999
0.086999997,0,1.74,293.14999
0.087499999,0,1.75,293.14999
0.088,0,1.76,293.14999
0.088500001,0,1.77,293.14999
0.089000002,0,1.78,293.14999
0.089500003,0,1.79,293.14999
0.090000004,0,1.8,293.14999
0.090499997,0,1.8099999,293.14999
0.090999998,0,1.8200001,293.14999
0.091499999,0,1.83,293.14999
0.092,0,1.84,293.14999
0.092500001,0,1.85,293.14999
0.093000002,0,1.86,293.14999
0.093500003,0,1.87,293.14999
0.093999997,0,1.88,293.14999
0.094499998,0,1.89,293.14999
0.094999999,0,1.9,293.14999
0.0955,0,1.91,293.14999
0.096000001,0,1.92,293.14999
0.096500002,0,1.9299999,293.14999
0.097000003,0,1.9400001,293.14999
0.097499996,0,1.95,293.14999
0.097999997,0,1.96,293.14999
0.098499998,0,1.97,293.14999
0.098999999,0,1.98,293.14999
0.0995,0,1.99,293.14999
0.1,0,2,293.14999
0.1005,0.039999999,2.01,293.14999
0.101,0.16000001,2.02,293.15005
0.1015,0.36000007,2.03,293.15018
0.102,0.64000034,2.04,293.15042
0.1025,1.0000011,2.05,293.15085
0.103,1.4400028,2.0599999,293.15143
0.1035,1.9600061,2.0699999,293.15228
0.104,2.5600119,2.0799997,293.15341
0.1045,3.2400212,2.0899997,293.15485
0.105,4.0000362,2.0999994,293.15668
0.1055,4.8400578,2.1099992,293.15887
0.106,5.7600899,2.1199989,293.16153
0.1065,6.7601337,2.1299984,293.16464
0.107,7.8401937,2.139998,293.1683
0.1075,9.0002737,2.1499975,293.17252
0.108,10.240377,2.1599967,293.17731
0.1085,11.560512,2.169996,293.18274
0.109,12.960681,2.1799948,293.18887
0.1095,14.440892,2.1899936,293.19574
0.11,16.001152,2.1999922,293.20334
0.1105,17.641472,2.2099907,293.21173
0.111,19.361856,2.2199888,293.22098
0.1115,21.162317,2.2299869,293.23111
0.112,23.042868,2.2399845,293.24216
0.1125,25.003515,2.2499821,293.25418
0.113,27.044277,2.2599792,293.26718
0.1135,29.165163,2.2699759,293.28125
0.114,31.366192,2.2799723,293.29636
0.1145,33.647377,2.2899683,293.31262
0.115,36.008739,2.2999637,293.33002
0.1155,38.450294,2.3099589,293.34863
0.116,40.972061,2.3199534,293.3685
0.1165,43.574062,2.3299477,293.38962
0.117,46.256321,2.3399413,293.41208
0.1175,49.01886,2.3499343,293.43591
0.118,51.861706,2.3599267,293.46112
0.1185,54.784885,2.3699183,293.48776
0.119,57.788422,2.3799093,293.51593
0.1195,60.872353,2.3898997,293.54559
0.12,64.036705,2.3998892,293.57681
0.1205,67.281509,2.409878,293.60965
0.121,70.606796,2.4198661,293.6441
0.1215,74.012619,2.429853,293.68027
0.122,77.498993,2.4398391,293.71814
0.1225,81.065971,2.4498241,293.75778
0.123,84.713593,2.4598083,293.79922
0.1235,88.441902,2.4697914,293.8425
0.124,92.250938,2.4797733,293.88766
0.1245,96.140747,2.489754,293.93478
0.125,100.11137,2.4997337,293.98383
0.12549999,104.16288,2.5097122,294.03491
0.126,108.29531,2.5196893,294.08801
0.1265,112.50871,2.529665,294.14322
0.127,116.80315,2.5396392,294.20053
0.1275,121.17868,2.549612,294.26004
0.12800001,125.63536,2.5595834,294.32175
0.1285,130.17325,2.5695534,294.38568
0.12899999,134.7924,2.5795214,294.45193
0.1295,139.49289,2.589488,294.52051
0.13,144.2748,2.5994527,294.59143
0.1305,149.13815,2.6094158,294.66479
0.131,154.08307,2.6193767,294.7406
0.13150001,159.10959,2.6293359,294.81888
