"Time","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[2].off","rectifier.thyristor_p.idealThyristor[3].off","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[2].off","rectifier.thyristor_n.idealThyristor[3].off","rectifier.pre_p[1].u","rectifier.pre_p[2].u","rectifier.pre_p[3].u","rectifier.pre_n[1].u","rectifier.pre_n[2].u","rectifier.pre_n[3].u","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twomPulse.timerPositive[1].entryTime","pulse2.twomPulse.timerPositive[2].entryTime","pulse2.twomPulse.timerPositive[3].entryTime","pulse2.twomPulse.timerNegative[1].entryTime","pulse2.twomPulse.timerNegative[2].entryTime","pulse2.twomPulse.timerNegative[3].entryTime","pulse2.twomPulse.filter[1].firstOrder.y","pulse2.twomPulse.filter[1].transferFunction[1].x_scaled[1]","pulse2.twomPulse.filter[1].transferFunction[2].x_scaled[1]","pulse2.twomPulse.filter[2].firstOrder.y","pulse2.twomPulse.filter[2].transferFunction[1].x_scaled[1]","pulse2.twomPulse.filter[2].transferFunction[2].x_scaled[1]","pulse2.twomPulse.filter[3].firstOrder.y","pulse2.twomPulse.filter[3].transferFunction[1].x_scaled[1]","pulse2.twomPulse.filter[3].transferFunction[2].x_scaled[1]","inductor.i","dcpm.inertiaRotor.phi","dcpm.inertiaRotor.w","lMains.inductor[2].i","lMains.inductor[3].i"
2.45,1,0,1,1,1,0,1,1,0,0,0,1,97.495949,0.32498646,9542.5537,31.808496,99.999992,0.33333325,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,79.769417,6.6119637,-8.3801317,0.84790295,-10.647334,10.028151,-80.617317,4.0353699,-1.6480192,99.797195,355.08786,145.29088,99.799797,-99.799797
2.45,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0,9542.5488,0,99.999977,0,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,79.769417,6.6119637,-8.3801317,0.84790295,-10.647334,10.028151,-80.617317,4.0353699,-1.6480192,99.797195,355.08786,145.29088,99.799797,-99.799797
2.4502001,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.020811677,9542.5488,2.1656296,99.999977,0.019981449,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,76.150246,7.1321721,-8.7872286,7.2351966,-10.540177,9.7710161,-83.385445,3.408005,-0.98378724,100.01613,355.11691,145.29079,100.01878,-100.01867
2.4504001,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.041542538,9542.5488,4.3144827,99.999977,0.040005479,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,72.263039,7.6212258,-9.1566372,13.515412,-10.387628,9.4714746,-85.77845,2.7664013,-0.31483749,100.22124,355.14597,145.29089,100.22394,-100.22371
2.4505999,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.062112126,9542.5488,6.4300447,99.999977,0.060068022,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,68.119705,8.0774384,-9.4871855,19.673462,-10.190849,9.1313257,-87.793167,2.1134105,0.35586023,100.39915,355.17502,145.29117,100.40187,-100.40154
2.4507999,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.082440697,9542.5488,8.496335,99.999977,0.080162331,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,63.733562,8.4992304,-9.7778273,25.693596,-9.9511127,8.7524462,-89.427162,1.451882,1.0253813,100.53661,355.2041,145.29156,100.53936,-100.53891
2.451,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.10244943,9542.5488,10.498137,99.999977,0.10027904,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,59.11927,8.8851337,-10.027648,31.559601,-9.6697931,8.3367987,-90.678871,0.78465933,1.6908487,100.62057,355.23315,145.29205,100.62333,-100.62277
2.4512,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.12206082,9542.5488,12.421248,99.999977,0.12040613,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,54.292709,9.2338057,-10.235872,37.254971,-9.3483791,7.8864312,-91.547676,0.11457349,2.3494408,100.63821,355.26221,145.2926,100.64097,-100.6403
2.4514,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.14119893,9542.5488,14.252707,99.999977,0.14052907,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,49.270874,9.5440321,-10.401871,42.7631,-8.9884663,7.4034743,-92.033974,-0.55556494,2.9983969,100.577,355.29126,145.29312,100.57974,-100.57897
2.4516001,1,0,1,1,1,0,1,1,0,0,0,1,97.495934,0.15978967,9542.5488,15.980945,99.999977,0.16063087,2.4417133,2.44838,2.4350467,2.4317133,2.43838,2.4450467,44.071774,9.8147345,-10.525163,48.067429,-8.5917625,6.8901396,-92.139198,-1.2229717,3.6350229,100.42471,355.32031,145.29355,100.42744,-100.42657
