"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmE.idq_sr[1]","loadInertiaM.phi","loadInertiaE.phi","loadInertiaM.w","smpmE.is[2]","vfController.x","smpmE.idq_sr[2]","smpmM.is[2]","smpmE.is[1]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","loadInertiaE.w"
1.2,0.0042064171,-0.46436411,0.45053536,-43.340706,109.1702,109.1702,156.99889,39.430817,219.91148,-3.8043892,39.430504,-3.7913558,0.0027326902,-3.7916434,0.20064156,0.80784523,156.99886
1.2000999,-0.0099463724,-0.46436331,0.45044306,-43.343792,109.1859,109.18589,156.96663,39.979877,219.9429,-3.7802036,39.979908,-5.1259704,0.0027358779,-5.1271486,0.20256285,0.7842555,156.96661
1.2002,-0.02408896,-0.4643625,0.44990629,-43.346817,109.20159,109.20159,156.93439,40.488068,219.97432,-3.7498629,40.488663,-6.4493489,0.0027389647,-6.4519219,0.20442629,0.75548446,156.93437
1.2003,-0.038207967,-0.46436167,0.44892555,-43.349789,109.21728,109.21728,156.90215,40.955479,220.00574,-3.7134459,40.9562,-7.7603502,0.0027419308,-7.7635169,0.20623451,0.72161704,156.90213
1.2004,-0.052289374,-0.46436083,0.44750184,-43.352703,109.23297,109.23297,156.86992,41.382248,220.03716,-3.6710341,41.382767,-9.0578804,0.0027447524,-9.0609808,0.20799135,0.68274128,156.8699
1.2005,-0.066319019,-0.46436,0.44563657,-43.355576,109.24866,109.24866,156.83771,41.768559,220.06857,-3.6227086,41.768768,-10.340886,0.0027474088,-10.343824,0.20970191,0.63894522,156.83769
1.2006,-0.080282994,-0.46435916,0.44333166,-43.358406,109.26434,109.26434,156.8055,42.114632,220.09998,-3.5685489,42.114403,-11.608358,0.0027498803,-11.611121,0.21137242,0.59031433,156.80548
1.2007,-0.094167478,-0.46435833,0.44058931,-43.361206,109.28001,109.28001,156.77332,42.420727,220.13139,-3.5086334,42.42009,-12.859328,0.0027521474,-12.861966,0.21300985,0.53693295,156.7733
1.2007999,-0.10795877,-0.46435747,0.43741223,-43.363983,109.29569,109.29569,156.74113,42.687145,220.16281,-3.4430385,42.686127,-14.092872,0.0027541914,-14.095407,0.21462242,0.47888368,156.74112
1.2009,-0.12164325,-0.4643566,0.43380359,-43.366745,109.31136,109.31136,156.70897,42.914223,220.19423,-3.37184,42.912838,-15.308105,0.0027559942,-15.310538,0.21621929,0.41624802,156.70897
1.201,-0.13520741,-0.46435577,0.42976698,-43.369511,109.32703,109.32703,156.67683,43.102318,220.22565,-3.2951124,43.100567,-16.50419,0.0027575379,-16.506508,0.21781062,0.34910622,156.67682
1.2011,-0.14863786,-0.46435487,0.42530635,-43.372292,109.3427,109.3427,156.64471,43.251839,220.25706,-3.2129295,43.249771,-17.680328,0.002758804,-17.682508,0.21940732,0.27753723,156.6447
1.2012,-0.16192132,-0.46435401,0.42042607,-43.375095,109.35836,109.35836,156.61261,43.363216,220.28848,-3.1253629,43.360943,-18.835766,0.0027597751,-18.837791,0.22102123,0.20161884,156.61259
1.2013,-0.1750447,-0.46435314,0.41513106,-43.377945,109.37402,109.37402,156.58054,43.436905,220.31989,-3.0324843,43.434536,-19.969791,0.0027604338,-19.971638,0.22266506,0.12142739,156.58052
1.2014,-0.18799502,-0.46435225,0.40942654,-43.380848,109.38968,109.38968,156.54848,43.4734,220.3513,-2.9343631,43.470928,-21.081732,0.002760763,-21.08338,0.22435248,0.037037842,156.54846
1.2015001,-0.20075947,-0.46435136,0.40331826,-43.383827,109.40533,109.40533,156.51645,43.473209,220.38272,-2.831068,43.470631,-22.170959,0.0027607461,-22.172434,0.22609784,-0.051476087,156.51643
1.2016,-0.21332549,-0.46435046,0.39681214,-43.386898,109.42098,109.42098,156.48444,43.436871,220.41414,-2.7226665,43.434216,-23.236885,0.0027603665,-23.238132,0.22791591,-0.14404193,156.48444
1.2017,-0.22568062,-0.46434954,0.38991475,-43.390083,109.43663,109.43663,156.45247,43.364944,220.44556,-2.6092246,43.362217,-24.278959,0.0027596087,-24.280058,0.22982261,-0.24058864,156.45245
