"Time","volume.medium.p","volume.medium.h"
0,101325,84013.055
4.5439091e-12,101325,84013.055
0.000202,105760.67,84017.5
0.00040399999,110176.73,84021.93
0.00060600002,114573.24,84026.328
0.00080799998,118950.3,84030.719
0.00101,123307.98,84035.078
0.001212,127646.38,84039.43
0.0014140001,131965.55,84043.75
0.001616,136265.59,84048.062
0.001818,140546.59,84052.352
0.00202,144808.66,84056.617
0.0022219999,149051.84,84060.867
0.0024240001,153276.23,84065.102
0.002626,157481.94,84069.312
0.0028280001,161669.02,84073.508
0.00303,165837.55,84077.688
0.0032319999,169987.62,84081.844
0.0034340001,174119.33,84085.984
0.003636,178232.75,84090.102
0.0038379999,182327.95,84094.203
0.00404,186405.03,84098.289
0.0042420002,190464.05,84102.359
0.0044439998,194505.09,84106.406
0.004646,198528.27,84110.438
0.0048480001,202533.61,84114.445
0.0050499998,206521.22,84118.438
0.0052519999,210491.16,84122.422
0.0054540001,214443.53,84126.375
0.0056560002,218378.41,84130.32
0.0058579999,222295.86,84134.242
0.00606,226195.95,84138.148
0.0062620002,230078.78,84142.039
0.0064639999,233944.41,84145.914
0.006666,237792.94,84149.766
0.0068680001,241624.41,84153.609
0.0070699998,245438.91,84157.43
0.007272,249236.52,84161.234
0.0074740001,253017.31,84165.016
0.0076759998,256781.36,84168.789
0.0078779999,260528.73,84172.539
0.0080800001,264259.5,84176.281
0.0082820002,267973.78,84180
0.0084840003,271671.59,84183.703
0.0086859995,275353,84187.391
0.0088879997,279018.12,84191.062
0.0090899998,282667.03,84194.719
0.009292,286299.75,84198.359
0.0094940001,289916.38,84201.984
0.0096960003,293517,84205.586
0.0098980004,297101.66,84209.18
0.0101,300670.44,84212.75
0.010302,304223.44,84216.312
0.010504,307760.66,84219.852
0.010706,311282.22,84223.383
0.010908,314788.19,84226.898
0.01111,318278.62,84230.391
0.011312,321753.59,84233.875
0.011514,325213.19,84237.336
0.011716,328657.44,84240.789
0.011918,332086.41,84244.219
0.01212,335500.22,84247.641
0.012322,338898.91,84251.047
0.012524,342282.5,84254.438
0.012726,345651.12,84257.812
0.012928,349004.84,84261.172
0.01313,352343.66,84264.516
0.013332,355667.72,84267.844
0.013534,358977.03,84271.156
0.013736,362271.69,84274.461
0.013938,365551.75,84277.742
0.01414,368817.25,84281.016
0.014342,372068.31,84284.273
0.014544,375304.94,84287.516
0.014746,378527.25,84290.742
0.014948,381735.28,84293.953
0.01515,384929.06,84297.156
0.015352,388108.72,84300.336
0.015554,391274.28,84303.508
0.015756,394425.81,84306.664
0.015958,397563.41,84309.812
0.01616,400687.06,84312.938
0.016362,403796.88,84316.055
0.016564,406892.91,84319.156
0.016766001,409975.22,84322.242
0.016968001,413043.88,84325.312
0.017170001,416098.94,84328.375
0.017371999,419140.44,84331.422
0.017573999,422168.47,84334.453
0.017775999,425183.09,84337.477
0.017978,428184.34,84340.477
0.01818,431172.28,84343.477
0.018382,434147,84346.453
0.018584,437108.53,84349.422
0.018786,440056.91,84352.375
0.018988,442992.25,84355.312
0.01919,445914.56,84358.242
0.019392001,448823.91,84361.156
0.019594001,451720.38,84364.055
0.019796001,454604,84366.945
0.019997999,457474.84,84369.82
0.020199999,460332.94,84372.68
0.020401999,463178.41,84375.531
0.020603999,466011.22,84378.367
0.020806,468831.5,84381.195
0.021008,471639.28,84384.008
0.02121,474434.59,84386.805
0.021412,477217.53,84389.594
0.021614,479988.12,84392.367
0.021816,482746.44,84395.133
0.022018,485492.5,84397.883
0.022220001,488226.41,84400.617
0.022422001,490948.22,84403.344
0.022624001,493657.94,84406.062
